Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",-106.426000,-72.798000,0.000000,bottom
"C2","C_Polarized_Small","CP_EIA-3528-12_Kemet-T",-78.105000,-87.630000,-90.000000,bottom
"C3","100n","C_0603_1608Metric",-69.850000,-73.787000,0.000000,bottom
"C4","22uF/6.3V/20%/X5R/C0603","C_0603_1608Metric",-88.138000,-82.931000,180.000000,bottom
"C5","C_Polarized_Small","CP_EIA-3528-12_Kemet-T",-84.074000,-47.752000,-90.000000,bottom
"C6","100n","C_0603_1608Metric",-86.687500,-46.990000,-90.000000,bottom
"C7","22uF/6.3V/20%/X5R/C0603","C_0603_1608Metric",-96.647000,-94.869000,0.000000,bottom
"C8","C_Polarized","CP_EIA-7260-38_AVX-R",-81.590000,-38.100000,180.000000,bottom
"C9","C_Polarized_Small","CP_EIA-3528-12_Kemet-T",-102.870000,-43.955500,-90.000000,bottom
"C10","22uF/6.3V/20%/X5R/C0603","C_0603_1608Metric",-69.850000,-72.136000,180.000000,bottom
"D3","US1J","D_SMA",-74.930000,-40.894000,-90.000000,bottom
"L1","FB0805/600R/2A","L_0805_2012Metric",-83.185000,-86.995000,90.000000,bottom
"L2","FB0805/600R/2A","L_0805_2012Metric",-93.472000,-97.663000,0.000000,bottom
"L3","FB0805/600R/2A","L_0805_2012Metric",-100.838000,-34.844500,90.000000,bottom
"L4","FB0805/600R/2A","L_0805_2012Metric",-69.723000,-60.579000,180.000000,bottom
"Q1","Q_NPN_BEC","SOT-23",-65.913000,-56.388000,-90.000000,bottom
"R1","10k0","R_0603_1608Metric",-77.470000,-49.530000,-90.000000,bottom
"R2","10k0","R_0603_1608Metric",-80.010000,-50.800000,-90.000000,bottom
"R3","10k0","R_0603_1608Metric",-82.296000,-68.707000,0.000000,bottom
"R4","1k00","R_0603_1608Metric",-94.996000,-74.295000,-90.000000,bottom
"R5","1k00","R_0603_1608Metric",-106.426000,-76.073000,180.000000,bottom
"R6","1k/R0603","R_0603_1608Metric",-106.426000,-74.422000,180.000000,bottom
"R7","560R","R_0603_1608Metric",-96.774000,-74.295000,90.000000,bottom
"R8","1k00","R_0603_1608Metric",-69.469000,-53.721000,180.000000,bottom
"U1","DS2485","DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm",-72.390000,-50.800000,0.000000,bottom
"U2","ESP-WROOM-32","ESP32-WROOM-32E",-100.330000,-60.860000,90.000000,bottom
