Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_D3.0mm_Clear",86.228000,-75.057000,0.000000,top
"D2","LED","LED_D3.0mm_Clear",100.325000,-75.057000,0.000000,top
"D4","LED","LED_D3.0mm_Clear",66.934000,-51.943000,180.000000,top
"FA1","Fuse","Fuseholder_Cylinder-5x20mm_Bulgin_FX0456_Vertical_Closed",35.560000,-92.329000,0.000000,top
"FA2","Fuse","Fuseholder_Cylinder-5x20mm_Bulgin_FX0456_Vertical_Closed",35.687000,-39.522000,0.000000,top
"PS1","HLK-PM03","Converter_ACDC_HiLink_HLK-PMxx",51.689000,-86.614000,0.000000,top
"REL1","SRD-03","Relay_SPDT_SANYOU_SRD_Series_Form_C",67.183000,-40.894000,180.000000,top
"RV1","Varistor","RV_Disc_D12mm_W4.2mm_P7.5mm",50.234000,-74.616000,90.000000,top
"ST_EXT1","BH10S","PinHeader_2x05_P2.54mm_Vertical",86.355000,-85.730000,0.000000,top
"ST_I2C1","Conn_01x05","PinSocket_1x05_P2.54mm_Vertical",85.115000,-58.350000,0.000000,top
"ST_IR1","Conn_01x04","TerminalBlock_WAGO_236-404_1x04_P5.00mm_45Degree",102.743000,-82.550000,-90.000000,top
"ST_Line1","Screw_Terminal_01x03","TerminalBlock_WAGO_236-403_1x03_P5.00mm_45Degree",38.386000,-79.064000,90.000000,top
"ST_OW1","Screw_Terminal_01x03","TerminalBlock_WAGO_236-403_1x03_P5.00mm_45Degree",74.746000,-69.183000,180.000000,top
"ST_PRG1","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",106.020000,-47.495000,180.000000,top
"ST_REL1","Screw_Terminal_01x03","TerminalBlock_WAGO_236-403_1x03_P5.00mm_45Degree",38.386000,-60.522000,90.000000,top
"ST_SI1","Si24R1","PinSocket_1x08_P1.27mm_Vertical",89.202500,-47.525000,180.000000,top
"ST_nRF1","nRF24L01+","PinHeader_2x04_P2.54mm_Vertical",95.577500,-46.885000,180.000000,top
