"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"ST_OW1,ST_Line1,ST_REL1";"TerminalBlock_WAGO_236-403_1x03_P5.00mm_45Degree";3;"Screw_Terminal_01x03";;;
2;"D1,D2,D4";"LED_D3.0mm_Clear";3;"LED";;;
3;"FA1,FA2";"Fuseholder_Cylinder-5x20mm_Bulgin_FX0456_Vertical_Closed";2;"Fuse";;;
4;"PS1";"Converter_ACDC_HiLink_HLK-PMxx";1;"HLK-PM03";;;
5;"ST_nRF1";"PinHeader_2x04_P2.54mm_Vertical";1;"nRF24L01+";;;
6;"ST_I2C1";"PinSocket_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
7;"ST_PRG1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
8;"REL1";"Relay_SPDT_SANYOU_SRD_Series_Form_C";1;"SRD-03";;;
9;"ST_EXT1";"PinHeader_2x05_P2.54mm_Vertical";1;"BH10S";;;
10;"ST_SI1";"PinSocket_1x08_P1.27mm_Vertical";1;"Si24R1";;;
11;"ST_IR1";"TerminalBlock_WAGO_236-404_1x04_P5.00mm_45Degree";1;"Conn_01x04";;;
12;"RV1";"RV_Disc_D12mm_W4.2mm_P7.5mm";1;"Varistor";;;
13;"C10,C7,C4";"C_0603_1608Metric";3;"22uF/6.3V/20%/X5R/C0603";;;
14;"R3,R1,R2";"R_0603_1608Metric";3;"10k0";;;
15;"R4,R5,R8";"R_0603_1608Metric";3;"1k00";;;
16;"C6,C3,C1";"C_0603_1608Metric";3;"100n";;;
17;"C2,C9,C5";"CP_EIA-3528-12_Kemet-T";3;"C_Polarized_Small";;;
18;"L4,L2,L3,L1";"L_0805_2012Metric";4;"FB0805/600R/2A";;;
19;"U1";"DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm";1;"DS2485";;;
20;"D3";"D_SMA";1;"US1J";;;
21;"U2";"ESP32-WROOM-32E";1;"ESP-WROOM-32";;;
22;"Q1";"SOT-23";1;"Q_NPN_BEC";;;
23;"C8";"CP_EIA-7260-38_AVX-R";1;"C_Polarized";;;
24;"R6";"R_0603_1608Metric";1;"1k/R0603";;;
25;"R7";"R_0603_1608Metric";1;"560R";;;
